time,vx,vy,vz
0.532500,8.913095,3.870740,1.838756
0.533750,9.376078,3.382022,1.673616
0.535000,9.831544,2.882138,1.541649
0.536250,10.249383,2.411876,1.524284
0.537500,10.467196,2.138149,1.558252
0.538750,10.561778,2.069993,1.630163
0.540000,10.618113,2.035816,1.881405
0.541250,10.583155,2.028815,2.175022
0.542500,10.427533,2.127701,2.540653
0.543750,10.016537,2.508368,2.967691
0.545000,9.557433,2.974265,3.497720
0.546250,9.146187,3.449132,4.134075
0.547500,8.583160,3.980796,4.629107
0.548750,7.853466,4.386807,4.989539
0.550000,7.231357,4.620755,5.166819
0.551250,6.609341,4.697685,5.057067
0.552500,5.974722,4.526615,4.847306
0.553750,5.433298,4.222044,4.682398
0.555000,5.061744,4.010582,4.499203
0.556250,4.830037,3.880902,4.214673
0.557500,4.501478,3.771461,3.908808
0.558750,4.318221,3.533249,3.768560
0.560000,4.351291,3.388013,3.693202
0.561250,4.420709,3.391670,3.534926
0.562500,4.461927,3.426732,3.500734
0.563750,4.513590,3.715698,3.725460
0.565000,4.791041,4.064525,4.053195
0.566250,5.198139,4.405632,4.331903
0.567500,5.662871,4.856519,4.604798
0.568750,6.302706,5.166456,4.930293
0.570000,6.936752,5.424800,5.159144
0.571250,7.549563,5.581759,5.216772
0.572500,8.205868,5.553365,4.959315
0.573750,8.883228,5.376701,4.538773
0.575000,9.533830,5.032262,4.123313
0.576250,10.135801,4.771678,3.579851
0.577500,10.494091,4.504508,3.005442
0.578750,10.771545,4.202995,2.466253
0.580000,11.145177,3.794692,1.929456
0.581250,11.410611,3.460101,1.450069
0.582500,11.459118,3.510211,1.004116
0.583750,11.345980,3.643091,0.668140
0.585000,11.153608,3.734246,0.638295
0.586250,10.903663,4.008621,0.773667
0.587500,10.541164,4.457827,0.830975
0.588750,10.233297,4.883374,0.995641
0.590000,10.056553,5.223595,1.294075
0.591250,9.668207,5.532520,1.294524
0.592500,9.061785,5.742591,1.128488
0.593750,8.371366,5.821505,1.044269
0.595000,7.686351,5.766243,0.991572
0.596250,7.149323,5.579698,0.794550
0.597500,6.656374,5.354613,0.443574
0.598750,6.158311,5.007857,0.146283
0.600000,5.757552,4.598954,-0.218317
0.601250,5.404198,4.222788,-0.601300
0.602500,5.146574,3.976555,-0.922639
0.603750,4.996543,3.915138,-0.999586
0.605000,4.859065,4.030042,-0.840702
0.606250,4.874910,4.290368,-0.678065
0.607500,5.097686,4.659410,-0.361603
0.608750,5.366279,5.041766,0.089059
0.610000,5.867949,5.465665,0.615394
0.611250,6.466513,5.942070,1.126981
0.612500,6.980735,6.316189,1.626448
0.613750,7.507208,6.642915,2.154268
0.615000,8.096089,6.888230,2.488342
0.616250,8.737810,6.860159,2.501707
0.617500,9.393083,6.707959,2.530945
0.618750,9.947033,6.419586,2.611704
0.620000,10.342861,5.974474,2.599236
0.621250,10.652358,5.547374,2.504853
0.622500,10.977263,5.158567,2.362910
0.623750,11.260658,4.882211,2.238220
0.625000,11.366370,4.853550,2.158446
0.626250,11.246667,4.950872,2.264880
0.627500,11.031041,5.093463,2.580080
0.628750,10.713183,5.302606,3.096250
0.630000,10.220796,5.626045,3.550862
0.631250,9.748398,6.172024,3.938154
0.632500,9.218048,6.654722,4.455312
0.633750,8.728033,6.926179,5.015301
0.635000,8.255742,6.988288,5.462491
0.636250,7.660564,6.973836,5.725057
0.637500,6.999623,6.838425,5.815935
0.638750,6.353874,6.572958,5.737901
0.640000,5.750278,6.232300,5.550277
0.641250,5.222454,5.712793,5.380944
0.642500,4.856064,5.208030,5.159271
0.643750,4.418127,4.931051,4.791412
0.645000,3.885678,4.758003,4.530994
0.646250,3.538516,4.584003,4.374683
0.647500,3.407056,4.511323,4.357439
0.648750,3.449911,4.639340,4.514704
0.650000,3.591111,4.983214,4.636484
0.651250,3.787723,5.254292,4.848591
0.652500,3.931893,5.551900,5.147738
0.653750,4.368813,6.045417,5.328315
0.655000,4.999328,6.516326,5.472709
0.656250,5.404600,6.846125,5.483215
0.657500,5.788870,6.995576,5.257768
0.658750,6.343919,6.955737,5.095268
0.660000,7.030620,6.778887,4.844951
0.661250,7.642556,6.536863,4.375984
0.662500,8.209476,6.173875,3.847122
0.663750,8.828316,5.760031,3.251746
0.665000,9.346435,5.334240,2.699069
0.666250,9.613289,5.009757,2.333984
0.667500,9.692447,4.868704,2.066426
0.668750,9.691102,4.850982,1.798497
0.670000,9.666111,5.002873,1.672108
0.671250,9.541267,5.133885,1.655650
0.672500,9.224318,5.261588,1.739146
0.673750,8.891568,5.546982,1.894882
0.675000,8.575790,5.897867,2.024059
0.676250,8.124138,6.275582,2.192345
0.677500,7.500208,6.619237,2.289458
0.678750,6.867320,6.807169,2.227214
0.680000,6.234397,6.777485,2.111302
0.681250,5.598966,6.644337,1.965336
